row_0,0,1,2,3,4,5,6
192.168.6.13,304,0,0,0,0,0,0
192.168.6.14,43,0,0,0,0,0,0
192.168.6.15,270,0,0,0,0,0,0
192.168.6.16,163,0,0,0,0,0,0
192.168.6.17,95,0,0,0,0,0,0
192.168.6.18,458,0,0,0,0,0,0
192.168.6.19,326,0,0,0,0,0,0
192.168.6.20,18,0,0,0,0,0,0
192.168.6.21,29,0,0,0,0,0,0
192.168.6.22,106,0,0,0,0,0,0
192.168.6.23,32,0,0,0,0,0,0
192.168.6.24,11,0,0,0,0,0,0
192.168.6.25,163,0,0,0,0,0,0
192.168.6.26,4,0,0,0,0,0,0
192.168.6.27,11,0,0,0,0,0,0
192.168.6.28,12,0,0,0,0,0,0
192.168.6.29,20,0,0,0,0,0,0
192.168.6.30,26,0,0,0,0,0,0
192.168.6.31,43,0,0,0,0,0,0
192.168.6.32,49,0,0,0,0,0,0
192.168.6.33,235,0,0,0,0,0,0
192.168.6.34,84,0,0,0,0,0,0
192.168.6.35,91,0,0,0,0,0,0
192.168.6.36,16,0,0,0,0,0,0
192.168.6.37,9,0,0,0,0,0,0
192.168.6.38,302,0,0,3,0,0,0
192.168.6.39,47,0,0,0,0,0,0
192.168.6.40,71,0,0,0,0,0,0
192.168.6.41,71,0,0,0,0,0,0
192.168.6.42,20,0,0,0,0,0,0
192.168.6.43,30,0,0,0,0,0,0
192.168.6.44,75,0,0,0,0,0,0
192.168.6.45,9,0,0,0,0,0,0
192.168.8.1,2,0,0,0,0,0,0
192.168.86.1,5,0,0,0,0,0,0
192.168.9.18,36,0,0,0,0,0,0
192.168.9.7,181,0,0,0,0,0,0
192.168.9.73,154,0,0,0,0,0,0
192.168.9.94,214,0,0,0,0,0,0
