src_ip,dst_ip,dst_port,src_port,dst_diversity,src_diversity,udp_ratio,tcp_ratio,http_ratio,ssh_ratio,smtp_ratio,bytes,packets,avg_duration
192.168.147.102,0.0,0.0,0.02609472743521001,0.0032952999217033697,0.9965851419933053,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,1.7224172632418868e-05,0.00015316986739667988,7.346998491913948e-08
192.168.4.19,0.0,0.0,0.02100089365504915,0.00409570522190678,0.99156329198346,1.0,0.0,0.0,0.0,0.0,1.705711952074632e-05,8.168220537423602e-05,4.356337929323093e-08
192.168.6.22,0.0,0.0,0.01456657730116175,0.005674539376209749,0.9477704376548307,1.0,0.0,0.0,0.0,0.0,8.034189106333977e-06,4.405049596453406e-05,1.99770409861059e-08
192.168.2.231,0.0,0.0003278688524590164,0.016800714924039322,0.0077995570211682125,0.746031746031746,0.2608695652173913,0.7391304347826086,0.0,0.0,0.0,0.000381320726156269,0.0006353340103684799,4.029756074015472e-07
192.168.2.226,0.0,0.0003278688524590164,0.02323503127792672,0.007557228143763482,1.0,0.0,1.0,0.0,0.0842911877394636,0.0,0.009637393694287235,0.007384373426374693,1.3162038015527748e-05
192.168.121.13,0.008658008658008658,0.002622950819672131,0.005898123324396783,0.1342362311784874,1.0,0.3283582089552239,0.6716417910447762,0.3880597014925373,0.0,0.0,5.2137757375957827e-05,0.00013554966901086626,3.99764443315246e-06
192.168.6.11,0.0,0.0,0.03038427167113494,0.0024254923897734613,0.862748643761302,1.0,0.0,0.0,0.0,0.0,1.6618519169935266e-05,0.00010395917047630039,6.780814608132021e-08
192.168.197.51,0.0,0.0,0.12135835567470957,0.0006053969137066066,0.9671298649946336,1.0,0.0,0.0,0.0,0.0,6.470489485715133e-05,0.00035504699747414454,1.2299032350876584e-08
192.168.147.161,0.007111935683364255,0.0036065573770491803,0.011974977658623771,0.04569997843114396,0.5133436326184418,0.48854961832061067,0.5114503816793893,0.015267175572519083,0.003816793893129771,0.0,0.0006931791529448849,0.002047215335311746,2.1336356628013543e-06
192.168.198.10,0.0,0.0,0.0,0.4999467886979194,0.498015873015873,1.0,0.0,0.0,0.0,0.0,1.4505434799550508e-07,5.034342395946751e-07,0.0
192.168.120.60,0.00030921459492888067,0.0,0.025915996425379804,0.002387608374901622,0.7245972370660649,1.0,0.0,0.0,0.0,0.0,2.4245215552220257e-05,0.00010974866423163915,8.618523916699053e-08
192.168.120.65,0.0,0.0003278688524590164,8.936550491510277e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.000218713427130578,0.0007426913619620443,4.924840029099757e-05
192.168.120.72,0.00030921459492888067,0.0,0.023324396782841823,0.0027187367817263367,0.7390816967088153,1.0,0.0,0.0,0.0,0.0,2.0878201652244025e-05,9.615593976258293e-05,0.0
192.168.197.54,0.00030921459492888067,0.0013114754098360656,0.12457551385165326,0.0032700339204984343,0.9417006955832073,0.9702903443619176,0.029709655638082377,0.0,0.0,0.0,0.00010731735942629059,0.00045749586523166093,1.9777068242946533e-07
192.168.198.119,0.00030921459492888067,0.0009836065573770492,0.004378909740840035,0.07990209120417177,1.0,0.0,1.0,0.18,0.0,0.0,0.00016954756523511577,0.00021169409774956084,1.4273396014162803e-05
192.168.120.63,0.00030921459492888067,0.0,0.023413762287756927,0.0027840583860243126,0.7591636847417195,1.0,0.0,0.0,0.0,0.0,2.0795018827090206e-05,9.451977848390024e-05,3.495982172568532e-08
192.168.121.15,0.004947433518862091,0.0006557377049180328,0.009115281501340482,0.029022890675571726,1.0,0.14563106796116504,0.8543689320388349,0.0,0.0,0.0,7.559170489716943e-05,0.0002150922788668249,1.544307697764035e-05
192.168.120.67,0.00030921459492888067,0.0,0.03413762287756926,0.0019099209897988786,0.7712733614951357,1.0,0.0,0.0,0.0,0.0,3.102599072498644e-05,0.00013907370868802897,3.832289213362856e-08
192.168.121.11,0.003401360544217687,0.001639344262295082,0.013494191242180518,0.039371462498634706,1.0,0.0,1.0,0.08552631578947369,0.0,0.0,0.0002650436827611376,0.0008881838572049054,9.56148824209222e-05
