src_ip,dst_ip,dst_port,src_port,dst_diversity,src_diversity,udp_ratio,tcp_ratio,http_ratio,ssh_ratio,smtp_ratio,bytes,packets,avg_duration
192.168.199.40,0.0008438818565400844,0.001366120218579235,0.0010838639750711287,0.375,1.0,0.125,0.875,0.0,0.0,0.0,1.116594313741267e-05,4.419994957687345e-06,2.678659736035254e-05
192.168.121.41,0.02109704641350211,0.00273224043715847,0.009619292778756266,0.08450704225352113,1.0,0.6901408450704225,0.30985915492957744,0.0,0.0,0.0,2.431208359950316e-05,2.0604653111209162e-05,9.905913938967496e-06
192.168.121.32,0.023206751054852322,0.0009107468123861566,0.007451564828614009,0.03636363636363636,1.0,0.9818181818181818,0.01818181818181818,0.0,0.0,0.0,8.204563723420327e-06,1.471132650095937e-05,2.0979712617898492e-06
192.168.199.10,0.0008438818565400844,0.0004553734061930783,0.0014903129657228018,0.06666666666666667,0.7333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,1.0131381295495772e-06,9.235810359346689e-07,0.0
192.168.6.16,0.0004219409282700422,0.0004553734061930783,0.00013548299688389108,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.43497511140849e-08,4.398004933022233e-08,0.0
192.168.119.54,0.0004219409282700422,0.0004553734061930783,0.00013548299688389108,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.709000446487281e-08,4.398004933022233e-08,0.0
192.168.121.8,0.0004219409282700422,0.0009107468123861566,0.0005419319875355643,0.5,1.0,0.25,0.75,0.0,0.0,0.0,1.0088294499673226e-06,7.476608386137796e-07,1.3736716595052584e-06
192.168.6.33,0.0004219409282700422,0.0004553734061930783,0.004606421894052296,0.029411764705882353,1.0,1.0,0.0,0.0,0.0,0.0,1.0663981966080014e-06,1.4953216772275593e-06,0.0
192.168.121.47,0.0008438818565400844,0.0009107468123861566,0.0012193469719550196,0.2222222222222222,1.0,0.0,1.0,0.1111111111111111,0.0,0.0,7.385615388932083e-05,1.660246862215893e-05,0.0016581743232072363
192.168.119.157,0.0004219409282700422,0.001366120218579235,0.0005419319875355643,0.75,1.0,0.25,0.75,0.0,0.0,0.0,1.7766122144162935e-06,1.2094513565811141e-06,0.00014286185258854687
192.168.121.74,0.01729957805907173,0.00273224043715847,0.008128979813033465,0.1,1.0,0.6833333333333333,0.31666666666666665,0.0,0.0,0.0,1.5938643573567247e-05,1.79218701020656e-05,1.1813576271745221e-05
192.168.121.31,0.0008438818565400844,0.0009107468123861566,0.0004064489906516732,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,2.3007511170431645e-05,1.603072798086604e-05,2.381030876475781e-05
192.168.121.39,0.002953586497890295,0.0004553734061930783,0.0009483809781872375,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,9.651442264250195e-07,1.8471620718693379e-06,1.5699104680060098e-06
192.168.121.38,0.007172995780590718,0.0009107468123861566,0.0028451429345617125,0.09523809523809523,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.040522182005684e-05,1.092904225856025e-05,0.0013244811315077367
192.168.121.20,0.0008438818565400844,0.0009107468123861566,0.0004064489906516732,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,2.226629859673991e-06,2.2209924911762277e-06,0.0041576462227692484
192.168.199.11,0.0004219409282700422,0.0004553734061930783,0.0005419319875355643,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0013764506596614951,0.00029095001634408586,0.040418914909282726
192.168.121.58,0.002953586497890295,0.0004553734061930783,0.0009483809781872375,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,9.651442264250195e-07,1.8471620718693379e-06,1.5699104680060098e-06
192.168.120.1,0.0008438818565400844,0.0004553734061930783,0.00027096599376778217,0.5,1.0,1.0,0.0,0.0,0.0,0.0,5.194352607495765e-08,8.796009866044466e-08,0.0
192.168.121.50,0.0004219409282700422,0.0009107468123861566,0.0005419319875355643,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.397927153353699e-07,1.7592019732088933e-07,0.0
192.168.121.64,0.002953586497890295,0.0004553734061930783,0.0009483809781872375,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,9.651442264250195e-07,1.8471620718693379e-06,3.1398209360120195e-06
192.168.2.2,0.0004219409282700422,0.0004553734061930783,0.00013548299688389108,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0262216985289756e-07,3.95820443972001e-07,0.0
192.168.111.3,0.0004219409282700422,0.0004553734061930783,0.00013548299688389108,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.4750424883471577e-07,3.95820443972001e-07,0.0
192.168.147.223,0.006751054852320675,0.0009107468123861566,0.22530822381791085,0.0011695906432748538,0.9725146198830409,1.0,0.0,0.0,0.0,0.0,0.0002541650589342456,8.712447772317044e-05,6.0795012392607006e-06
192.168.2.221,0.0004219409282700422,0.0004553734061930783,0.003658040915865059,0.037037037037037035,1.0,0.0,1.0,0.0,0.0,0.0,0.0007690687856187298,0.00015966956909337218,0.00010134644243461016
192.168.198.73,0.0008438818565400844,0.001366120218579235,0.0531093347784853,0.007334963325183374,0.9584352078239609,0.0,1.0,0.0,0.0,0.0,0.00035897440788585126,0.000379415885571828,2.52567503165759e-06
192.168.120.68,0.0008438818565400844,0.0004553734061930783,0.005690285869123425,0.017543859649122806,0.7368421052631579,1.0,0.0,0.0,0.0,0.0,2.5095664855753733e-06,2.8367131817993405e-06,0.0
192.168.119.50,0.0008438818565400844,0.0009107468123861566,0.0029806259314456036,0.09090909090909091,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,1.3744807552935971e-05,8.026359002765576e-06,0.00021504205433345956
192.168.199.12,0.0012658227848101266,0.0018214936247723133,0.006232217856658989,0.08695652173913043,1.0,0.30434782608695654,0.6956521739130435,0.0,0.0,0.0,2.5223967758869758e-05,1.622863820285204e-05,0.00021572617539708665
192.168.2.112,0.0004219409282700422,0.0004553734061930783,0.0012193469719550196,0.1111111111111111,1.0,0.0,1.0,0.0,0.0,0.0,1.0535559377420038e-05,6.97083781884024e-06,0.0005488581430645455
192.168.120.67,0.0008438818565400844,0.0004553734061930783,0.00501287088470397,0.02,0.74,1.0,0.0,0.0,0.0,0.0,2.2448220623546212e-06,2.484872787157562e-06,0.0
